cell_id,group,Disease,Stage,plot_stage,pseudotime,mix_entropy,Batch,OXPHOS,Apoptosis
Normal_1_1_10_1_bar73,Normal,Control,D,Late SPC,6.487441860465117,0.3764618904658653,Normal_1,2.884696802520416,0.5140122734489168
Normal_1_1_10_3_bar75,Normal,Control,SPC7,Late SPC,7.35042735042735,0.3764618904658653,Normal_1,2.771134038436782,0.0889083023759629
Normal_1_1_10_4_bar76,Normal,Control,S1,Round Sperm,8.254748603351954,0.5076575881791653,Normal_1,2.5683210491794153,0.1349027561503166
Normal_1_1_10_5_bar77,Normal,Control,S1,Round Sperm,8.346368715083798,0.545883901502697,Normal_1,2.521394873963685,1.0978786606208657
Normal_1_1_11_2_bar82,Normal,Control,S1,Round Sperm,8.4,0.6156105340949665,Normal_1,2.0832959797311306,0.3971143275052066
Normal_1_1_11_3_bar83,Normal,Control,S1,Round Sperm,8.143016759776536,0.2097688050776946,Normal_1,2.4364369078148367,0.0543936595158304
Normal_1_1_11_4_bar84,Normal,Control,D,Late SPC,6.626976744186046,0.2707180859308279,Normal_1,2.9004834396978376,0.8308853509507009
Normal_1_1_11_6_bar86,Normal,Control,D,Late SPC,6.636279069767442,0.2707180859308279,Normal_1,3.0308505485525528,0.0347405748398215
Normal_1_1_11_7_bar87,Normal,Control,SPC7,Late SPC,7.268376068376067,0.0574590202865503,Normal_1,2.473833340429833,0.4284432997009422
Normal_1_1_12_2_bar90,Normal,Control,D,Late SPC,6.573023255813953,0.3516761192089252,Normal_1,3.0220393435273283,0.2224224714037766
Normal_1_1_2_2_bar10,Normal,Control,S2,Elongated Sperm,9.417218543046356,0.4668927834005117,Normal_1,2.475775735519566,0.0483439057355663
Normal_1_1_2_6_bar14,Normal,Control,S2,Elongated Sperm,9.512582781456953,0.4618043316723161,Normal_1,2.4003889804776444,0.1336046856855435
Normal_1_1_2_7_bar15,Normal,Control,S2,Elongated Sperm,9.525827814569537,0.4739291234780728,Normal_1,2.408196183953197,0.2088561962535877
Normal_1_1_3_1_bar17,Normal,Control,S2,Elongated Sperm,9.45430463576159,0.4668927834005117,Normal_1,2.440339809051652,0.0760411032236674
Normal_1_1_3_4_bar20,Normal,Control,D,Late SPC,6.604651162790698,0.2989239369426592,Normal_1,2.8188654907123483,0.0
Normal_1_1_3_5_bar21,Normal,Control,D,Late SPC,6.664186046511627,0.2989239369426592,Normal_1,2.8277219234095456,0.2332745265187099
Normal_1_1_3_8_bar24,Normal,Control,S3,Elongated Sperm,9.982608695652171,0.2375081438257075,Normal_1,2.265207289050001,0.2637319470677621
Normal_1_1_4_1_bar25,Normal,Control,D,Late SPC,6.62139534883721,0.2707180859308279,Normal_1,2.986024208377956,0.233644003590102
Normal_1_1_4_2_bar26,Normal,Control,S2,Elongated Sperm,9.305960264900662,0.7192711659547665,Normal_1,2.485004763518403,0.0846065441118997
Normal_1_1_4_3_bar27,Normal,Control,D,Late SPC,6.485581395348836,0.3764618904658653,Normal_1,2.9578153368982347,0.1392606116902206
Normal_1_1_4_4_bar28,Normal,Control,S2,Elongated Sperm,9.541721854304637,0.4637773498848662,Normal_1,2.47404321176949,0.2773056377605796
Normal_1_1_4_8_bar32,Normal,Control,S1,Round Sperm,8.15418994413408,-1.4428232973175177e-12,Normal_1,2.601072261120682,0.4355263597203309
Normal_1_1_5_2_bar34,Normal,Control,D,Late SPC,6.427906976744185,0.2410763084844952,Normal_1,2.9476260366032565,0.6345326773969475
Normal_1_1_5_3_bar35,Normal,Control,D,Late SPC,6.60093023255814,0.2989239369426592,Normal_1,2.842244048259512,0.4847367522939348
Normal_1_1_5_4_bar36,Normal,Control,S3,Elongated Sperm,10.0,0.1755650258546174,Normal_1,2.3523892037436873,0.5130451412168985
